0,6334,Dogs,/Books/Nonfiction/Pets/Dogs,1,0.0
0,6334,Dogs,/Books/Nonfiction/Pets/Dogs,2,0.25
0,6334,Dogs,/Books/Nonfiction/Pets/Dogs,3,0.75
0,6334,Dogs,/Books/Nonfiction/Pets/Dogs,4,0.95
1,6329,Home & garden,/Books/Magazines/Home-garden,1,0.0
1,6329,Home & garden,/Books/Magazines/Home-garden,2,0.25
1,6329,Home & garden,/Books/Magazines/Home-garden,3,0.75
1,6329,Home & garden,/Books/Magazines/Home-garden,4,0.95
2,6334,Dogs,/Books/Nonfiction/Pets/Dogs,1,0.0
2,6334,Dogs,/Books/Nonfiction/Pets/Dogs,2,0.25
2,6334,Dogs,/Books/Nonfiction/Pets/Dogs,3,0.75
2,6334,Dogs,/Books/Nonfiction/Pets/Dogs,4,0.95
3,6329,Home & garden,/Books/Magazines/Home-garden,1,0.0
3,6329,Home & garden,/Books/Magazines/Home-garden,2,0.25
3,6329,Home & garden,/Books/Magazines/Home-garden,3,0.75
3,6329,Home & garden,/Books/Magazines/Home-garden,4,0.95
4,6335,Cats,/Books/Nonfiction/Pets/Cats,1,0.0
4,6335,Cats,/Books/Nonfiction/Pets/Cats,2,0.25
4,6335,Cats,/Books/Nonfiction/Pets/Cats,3,0.75
4,6335,Cats,/Books/Nonfiction/Pets/Cats,4,0.95
0,6335,Cats,/Books/Nonfiction/Pets/Cats,1,0.0
0,6335,Cats,/Books/Nonfiction/Pets/Cats,2,0.25
0,6335,Cats,/Books/Nonfiction/Pets/Cats,3,0.75
0,6335,Cats,/Books/Nonfiction/Pets/Cats,4,0.95
2,6333,Royalty,/Books/Nonfiction/Biography/Royalty,1,0.0
2,6333,Royalty,/Books/Nonfiction/Biography/Royalty,2,0.25
2,6333,Royalty,/Books/Nonfiction/Biography/Royalty,3,0.75
2,6333,Royalty,/Books/Nonfiction/Biography/Royalty,4,0.95
3,6334,Dogs,/Books/Nonfiction/Pets/Dogs,1,0.0
3,6334,Dogs,/Books/Nonfiction/Pets/Dogs,2,0.25
3,6334,Dogs,/Books/Nonfiction/Pets/Dogs,3,0.75
3,6334,Dogs,/Books/Nonfiction/Pets/Dogs,4,0.95
4,6335,Cats,/Books/Nonfiction/Pets/Cats,1,0.0
4,6335,Cats,/Books/Nonfiction/Pets/Cats,2,0.25
4,6335,Cats,/Books/Nonfiction/Pets/Cats,3,0.75
4,6335,Cats,/Books/Nonfiction/Pets/Cats,4,0.95
0,6329,Home & garden,/Books/Magazines/Home-garden,1,0.0
0,6329,Home & garden,/Books/Magazines/Home-garden,2,0.25
0,6329,Home & garden,/Books/Magazines/Home-garden,3,0.75
0,6329,Home & garden,/Books/Magazines/Home-garden,4,0.95
